id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
255054040,f040d5de-9a51-4bdc-af3a-32b16d5e2c1b,2024/12/13 10:44 AM,2024-12-13,2024-12-13 08:44:00 UTC,Pretoria,7682,nicky,Nicola van Berkel,2024-12-14 07:39:01 UTC,2024-12-14 10:18:07 UTC,research,CC-BY,https://www.inaturalist.org/observations/255054040,https://inaturalist-open-data.s3.amazonaws.com/photos/456988987/medium.jpeg,,"","",1,0,false,,"Woodville Big Tree, Garden Route District Municipality, South Africa",-33.92462,22.6469316667,2,,,,2,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
256364759,3beef3c3-d07c-4fa2-8168-a948398cf4d0,2024/12/12 10:32 AM,2024-12-12,2024-12-12 08:32:00 UTC,Pretoria,1275622,mdevill,Marienne de Villiers,2024-12-27 10:40:48 UTC,2024-12-27 11:27:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/256364759,https://inaturalist-open-data.s3.amazonaws.com/photos/459630299/medium.jpeg,,"",,0,0,false,,Gamka survey Boskloof,-33.7273,21.5065,300,,,,300,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
256659530,53a1c40e-39c8-4786-a26c-3b9eca0081fb,2020/01/15 10:51 AM,2020-01-15,2020-01-15 08:51:00 UTC,Pretoria,2524114,luc_p,Luc Pegram,2024-12-29 18:57:22 UTC,2024-12-29 19:31:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/256659530,https://inaturalist-open-data.s3.amazonaws.com/photos/460224071/medium.jpeg,,"",,0,0,false,,"Betty's Bay, 7141, South Africa",-34.3374500193,18.9423585604,24,,,,24,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
257026273,a98fb915-7fa4-4797-adea-b656b778d75e,2025/01/01 1:04 PM,2025-01-01,2025-01-01 11:04:00 UTC,Pretoria,8240198,ml12s,,2025-01-01 18:29:42 UTC,2025-01-01 19:24:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/257026273,https://inaturalist-open-data.s3.amazonaws.com/photos/460982531/medium.jpeg,,"",,1,0,false,,"Garden Route District Municipality, South Africa",-33.9366066435,22.5213724807,8,,,,8,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
258155103,90cfddd1-5b67-4594-ac5c-79e2f0cbda2d,2017/03/04 2:20 PM,2017-03-04,2017-03-04 12:20:00 UTC,Pretoria,3151177,peters5001,Peter Small,2025-01-11 17:50:12 UTC,2025-01-11 18:10:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/258155103,https://inaturalist-open-data.s3.amazonaws.com/photos/463128472/medium.jpg,,"",,0,0,false,,"Amanzimtoti Bird Sanctuary, 61 Umdoni Rd, eManzimtoti, 4126, South Africa",-30.0362647,30.8924734,189,,,,189,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
258646268,11080f45-cab8-4077-9028-c7dbd6822076,2025/01/14 9:34 AM,2025-01-14,2025-01-14 07:34:00 UTC,Pretoria,4545668,richardmckibbin,Richard McKibbin,2025-01-16 12:41:08 UTC,2025-01-16 12:47:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/258646268,https://inaturalist-open-data.s3.amazonaws.com/photos/464108331/medium.jpeg,,"",,0,0,false,,"eThekwini, KwaZulu-Natal, South Africa",-29.7291017,31.0476935997,,,,,,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
258669261,41f1e243-4ca5-4f13-981a-4b141e9b5b0a,2016/01/18 5:24 PM,2016-01-18,2016-01-18 15:24:00 UTC,Pretoria,3151177,peters5001,Peter Small,2025-01-16 18:16:34 UTC,2025-01-16 20:13:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/258669261,https://inaturalist-open-data.s3.amazonaws.com/photos/464154226/medium.jpg,,"",,0,0,false,,"Amanzimtoti Bird Sanctuary, 61 Umdoni Rd, eManzimtoti, 4126, South Africa",-30.0362647,30.8924734,189,,,,189,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
258743148,2ea50423-759a-48ab-a485-52bb4f06d7f6,2016/03/23 11:24 AM,2016-03-23,2016-03-23 09:24:00 UTC,Pretoria,3151177,peters5001,Peter Small,2025-01-17 14:45:02 UTC,2025-01-17 14:46:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/258743148,https://inaturalist-open-data.s3.amazonaws.com/photos/464305814/medium.jpg,,"",,0,0,false,,"Amanzimtoti Bird Sanctuary, 61 Umdoni Rd, eManzimtoti, 4126, South Africa",-30.0362647,30.8924734,189,,,,189,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
258747444,33f1d11e-3e05-4db3-b2d1-c6261f9f6239,2017/02/25 11:22 AM,2017-02-25,2017-02-25 09:22:00 UTC,Pretoria,3151177,peters5001,Peter Small,2025-01-17 15:42:04 UTC,2025-01-17 16:44:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/258747444,https://inaturalist-open-data.s3.amazonaws.com/photos/464313935/medium.jpg,,"",,0,0,false,,"Amanzimtoti Bird Sanctuary, 61 Umdoni Rd, eManzimtoti, 4126, South Africa",-30.0362647,30.8924734,189,,,,189,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
258918643,e1465665-f3b9-4e60-98a8-9595e96fc22e,2017/01/29 10:28 AM,2017-01-29,2017-01-29 08:28:00 UTC,Pretoria,3151177,peters5001,Peter Small,2025-01-19 06:53:48 UTC,2025-01-19 08:55:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/258918643,https://inaturalist-open-data.s3.amazonaws.com/photos/464661225/medium.jpg,,"",,1,0,false,,"Amanzimtoti Bird Sanctuary, 61 Umdoni Rd, eManzimtoti, 4126, South Africa",-30.0362647,30.8924734,189,,,,189,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
259642728,c8d717d9-60b2-440b-91fa-92d8eba3b01f,2025/01/25 10:41 AM,2025-01-25,2025-01-25 08:41:00 UTC,Pretoria,689147,sstanton,sharon stanton,2025-01-26 13:20:47 UTC,2025-01-26 14:58:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/259642728,https://inaturalist-open-data.s3.amazonaws.com/photos/466128494/medium.jpg,,"",,0,0,false,,"Kogelberg Nature Reserve, Western Cape, South Africa",-34.319006799,18.9639126685,8,,,,8,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
261269995,6127287d-c742-411a-9002-d2e05b48b640,2025/01/14 2:23 PM,2025-01-14,2025-01-14 12:23:00 UTC,Pretoria,6382532,trish-strachan,"",2025-02-10 18:59:26 UTC,2025-02-10 18:59:59 UTC,research,,https://www.inaturalist.org/observations/261269995,https://static.inaturalist.org/photos/469353451/medium.jpeg,,"",,0,0,false,,"Sabie, South Africa",-25.10564794,30.7827300278,1953,,,,1953,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
261466564,86f224db-8fa0-44dd-af63-bc18ee14b192,2025/01/26 1:32 PM,2025-01-26,2025-01-26 11:32:00 UTC,Pretoria,6382532,trish-strachan,"",2025-02-12 19:09:19 UTC,2025-02-12 19:19:04 UTC,research,,https://www.inaturalist.org/observations/261466564,https://static.inaturalist.org/photos/469741706/medium.jpeg,,"","Sorry for ??? photo
",0,0,false,,"Nwanedzi, South Africa",-22.6314058204,30.3993674399,122,,,,122,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
261573194,6ffc50a2-afea-4e4f-a0ad-d27bcdb05593,2025/01/09 12:44 PM,2025-01-09,2025-01-09 10:44:00 UTC,Pretoria,2770770,wneser,Walter Neser,2025-02-13 22:09:05 UTC,2025-02-14 12:43:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/261573194,https://inaturalist-open-data.s3.amazonaws.com/photos/469953987/medium.jpg,,"Anax speratus, Daragonfly",,3,0,false,,"Overberg District Municipality, South Africa",-34.3178284533,18.9638063867,,,,,,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
261624790,f250f6ff-fe92-46ea-9763-ec26b2a2d004,2025/01/18 3:46 PM,2025-01-18,2025-01-18 13:46:00 UTC,Pretoria,2197353,cornerautenbach,Corné Rautenbach,2025-02-14 13:42:21 UTC,2025-02-20 19:24:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/261624790,https://inaturalist-open-data.s3.amazonaws.com/photos/470059336/medium.jpeg,,"",,3,0,false,,"Ehlanzeni District Municipality, South Africa",-25.3568929469,30.5238540317,15,,,,15,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
263171309,9d263175-7d1a-43a3-b584-6ab1cf404db5,2025-02-26 14:14:21,2025-02-26,2025-02-26 12:14:21 UTC,Harare,2629943,spidermandan,Dan Lee,2025-02-26 16:46:37 UTC,2025-02-26 23:03:22 UTC,research,CC0,https://www.inaturalist.org/observations/263171309,https://inaturalist-open-data.s3.amazonaws.com/photos/472736118/medium.jpeg,,"",,0,0,false,2,"Emerald Hill, Harare, Zimbabwe",-17.7753620784,31.0255659744,30,,,,30,,open,false,gps,gps,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
